id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,liveness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020s,0.03,0.12,0.07
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2020s,0.78,0.09,0.05
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,81,2010s,0.02,0.18,0.08
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,68,2020s,0.91,0.06,0.04
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,92,2020s,0.01,0.22,0.09
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,64,2010s,0.95,0.05,0.03
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,70,2000s,0.35,0.16,0.06
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,79,1980s,0.42,0.11,0.05
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,75,2020s,0.84,0.07,0.04
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,85,2020s,0.04,0.14,0.08
11,Desert Mirage,Aurora Sands,electronic,moody,0.68,105,0.46,0.70,0.30,67,2010s,0.58,0.10,0.05
12,Sunday Vinyl,Blue Juniper,jazz,relaxed,0.33,84,0.74,0.50,0.82,61,1990s,0.29,0.20,0.06
13,Pixel Rush,Bitwave Arcade,chiptune,energetic,0.88,140,0.69,0.76,0.12,76,2000s,0.66,0.13,0.10
14,Golden Hour Walk,Mira Lane,folk,peaceful,0.45,96,0.80,0.48,0.77,69,2010s,0.47,0.08,0.04
15,Aftermath Echo,Crimson Static,rock,moody,0.72,128,0.40,0.61,0.20,73,2010s,0.05,0.19,0.07
16,Study Lantern,Paper Lanterns,ambient,focused,0.30,66,0.58,0.38,0.90,66,2020s,0.89,0.06,0.03
17,Club Gravity,Nova Pulse,dance,energetic,0.95,126,0.86,0.93,0.08,94,2020s,0.01,0.25,0.11
18,Ocean Breathing,Tideglass,ambient,relaxed,0.25,58,0.67,0.35,0.95,63,2010s,0.96,0.04,0.02
